Municipio,Ano,Vacas
1100155,1998,37522
1100155,1999,46732
1100155,2000,43434
1100155,2001,29853
1100155,2002,42284
1100155,2003,80840
1100155,2004,85373
1100155,2005,87412
1100155,2006,78094
1100155,2007,77107
1100155,2008,74805
1100155,2009,74627
1100155,2010,75702
1100155,2011,63591
1100155,2012,60411
1100155,2013,31816
1100155,2014,42872
1101450,1974,-
1101450,1975,-
1101450,1976,-
1101450,1977,-
1101450,1978,-
1101450,1979,-
1101450,1980,-
1101450,1981,-
1101450,1982,-
1101450,1983,-
1101450,1984,-
1101450,1985,-
1101450,1986,-
1101450,1987,-
1101450,1988,-
1101450,1989,-
1101450,1990,-
1101450,1991,-
1101450,1992,-
1101450,1993,-
1101450,1994,-
1101450,1995,-
1101450,1996,-
1101450,1997,3063
1101450,1998,2969
1101450,1999,2935
1101450,2000,1595
1101450,2001,4430
1101450,2002,5496
1101450,2003,2553
1101450,2004,2969
1101450,2005,3297
1101450,2006,3786
1101450,2007,4473
1101450,2008,5756
1101450,2009,6488
1101450,2010,6499
1101450,2011,7981
1101450,2012,5062
1101450,2013,5076
1101450,2014,7365
1100189,1974,-
1100189,1975,-
1100189,1976,-
1100189,1977,-
1100189,1978,3291
1100189,1979,4950
1100189,1980,10723
1100189,1981,4064
1100189,1982,3675
1100189,1983,8487
1100189,1984,11146
1100189,1985,9861
1100189,1986,7614
1100189,1987,6877
1100189,1988,7455
1100189,1989,8100
1100189,1990,10343
1100189,1991,15515
1100189,1992,20169
1100189,1993,24203
1100189,1994,11617
1100189,1995,12733
1100189,1996,13392
1100189,1997,4223
1100189,1998,6069
1100189,1999,6904
1100189,2000,7594
1100189,2001,6958
1100189,2002,7977
1100189,2003,8324
1100189,2004,10069
1100189,2005,9465
1100189,2006,8102
1100189,2007,8137
1100189,2008,9225
1100189,2009,9334
1100189,2010,9489
1100189,2011,6803
1100189,2012,5888
1100189,2013,6205
1100189,2014,7270
1101468,1974,-
1101468,1975,-
1101468,1976,-
1101468,1977,-
1101468,1978,-
1101468,1979,-
1101468,1980,-
1101468,1981,-
1101468,1982,-
1101468,1983,-
1101468,1984,-
1101468,1985,-
1101468,1986,-
1101468,1987,-
